City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,cadale,2.7603,46.3222,82.85,78,100,14.09,SO,1714972598
181,oruro,-17.9833,-67.15,47.01,33,37,6.89,BO,1714972598
182,aykhal,66.0,111.5,32.61,94,100,13.6,RU,1714972598
183,inirida,3.8653,-67.9239,74.71,99,100,3.49,CO,1714972345
184,college,64.8569,-147.8028,55.38,43,75,16.11,US,1714972599
185,thompson,55.7435,-97.8558,29.84,97,29,2.37,CA,1714972599
186,utrik,11.2278,169.8474,81.63,79,85,15.84,MH,1714972599
187,sumbe,-11.2061,13.8437,75.7,76,1,4.61,AO,1714972599
188,lompoc,34.6391,-120.4579,50.59,80,0,16.11,US,1714972599
189,parabel',58.6978,81.4825,39.9,68,97,17.0,RU,1714972599
190,sao gabriel da cachoeira,-0.1303,-67.0892,74.57,99,100,1.83,BR,1714972599
191,ermenek,36.6404,32.8918,45.41,65,5,13.82,TR,1714972600
192,rio grande,-32.035,-52.0986,71.71,97,85,9.51,BR,1714972464
193,daru,-9.0763,143.2092,79.65,86,100,14.34,PG,1714972600
194,happy valley-goose bay,53.3168,-60.3315,45.37,72,100,7.36,CA,1714972509
195,linares,-35.85,-71.6,43.57,85,52,4.38,CL,1714972497
196,ban na san,8.8004,99.3637,101.03,99,22,6.6,TH,1714972600
197,fort mcmurray,56.7268,-111.381,54.99,40,86,8.05,CA,1714972600
198,afaahiti,-17.75,-149.2833,82.06,87,51,22.77,PF,1714972600
199,sao joao da barra,-21.6403,-41.0511,76.66,84,0,9.08,BR,1714972600
200,robore,-18.3333,-59.75,75.25,61,5,4.36,BO,1714972600
201,fallon,39.4735,-118.7774,44.47,50,100,12.66,US,1714972601
202,malango,-2.9627,119.9001,79.3,73,98,4.05,ID,1714972601
203,tynda,55.1667,124.7167,58.8,39,92,2.19,RU,1714972601
204,sao geraldo do araguaia,-6.4006,-48.555,73.69,86,67,0.85,BR,1714972601
205,hassi messaoud,31.6804,6.0729,75.06,21,0,10.78,DZ,1714972601
206,vel'sk,61.0701,42.0983,31.26,54,13,8.99,RU,1714972601
207,puerto baquerizo moreno,-0.9,-89.6,73.2,89,37,7.31,EC,1714972601
208,parral,26.9333,-105.6667,64.13,14,85,14.0,MX,1714972601
209,colesberg,-30.72,25.0972,55.69,41,0,5.41,ZA,1714972601
210,martuk,50.7475,56.5056,50.68,39,0,12.84,KZ,1714972601
211,mulayjah,27.271,48.4242,90.0,27,2,21.81,SA,1714972602
212,konarka,19.9,86.1167,94.15,70,33,20.13,IN,1714972602
213,lorengau,-2.0226,147.2712,85.19,76,98,9.8,PG,1714972602
214,hanceville,34.0607,-86.7675,70.56,99,100,2.37,US,1714972602
215,peniche,39.3558,-9.3811,57.29,95,72,14.67,PT,1714972602
216,ganja,40.6828,46.3606,59.86,67,75,11.5,AZ,1714972602
217,ad dawadimi,24.5077,44.3924,78.15,21,0,14.56,SA,1714972602
218,darab,28.7519,54.5444,76.01,23,1,1.28,IR,1714972602
219,tura,25.5198,90.2201,91.54,42,14,6.44,IN,1714972602
220,rengo,-34.4167,-70.8667,48.49,86,77,1.57,CL,1714972558
221,klaksvik,62.2266,-6.589,45.52,98,100,21.07,FO,1714972603
222,saint-pierre,-21.3393,55.4781,78.48,44,40,2.3,RE,1714972603
223,dieppe,49.75,1.1667,53.02,95,97,1.99,FR,1714972307
224,cuajinicuilapa,16.4667,-98.4167,78.76,75,14,3.31,MX,1714972603
225,waddan,29.1614,16.139,64.13,45,47,6.08,LY,1714972572
226,maksi,23.2667,76.15,96.19,20,22,10.45,IN,1714972546
227,axim,4.8699,-2.2405,80.89,85,75,4.52,GH,1714972603
228,turkmenbasy,40.0222,52.9552,69.89,50,64,14.58,TM,1714972603
229,castillos,-34.1667,-53.8333,65.17,98,98,3.24,UY,1714972603
230,wailua homesteads,22.0669,-159.378,79.23,85,40,14.97,US,1714972603
231,keflavik,64.0049,-22.5624,37.31,93,75,10.36,IS,1714972604
232,luimneach,52.6647,-8.6231,49.95,94,98,3.78,IE,1714972485
233,lospalos,-8.5186,127.0025,79.5,76,49,11.59,TL,1714972604
234,vodnyy,63.5046,53.4095,27.41,90,100,5.64,RU,1714972604
235,callaway,30.153,-85.5699,73.99,94,0,3.44,US,1714972604
236,luena,-11.7833,19.9167,55.42,70,5,3.33,AO,1714972604
237,talcahuano,-36.7167,-73.1167,51.75,71,65,14.88,CL,1714972513
238,pathein,16.7833,94.7333,100.29,34,3,11.9,MM,1714972605
239,malindi,-3.2175,40.1191,78.42,89,100,16.87,KE,1714972605
240,sola,-13.8833,167.55,81.75,76,83,21.68,VU,1714972605
241,thinadhoo,0.5333,72.9333,85.46,76,65,9.51,MV,1714972605
242,chabahar,25.2919,60.643,84.27,69,0,11.21,IR,1714972605
243,mount isa,-20.7333,139.5,83.97,30,29,10.36,AU,1714972605
244,mccook,40.2019,-100.6257,60.85,79,40,21.54,US,1714972605
245,hobyo,5.3505,48.5268,84.11,68,96,11.45,SO,1714972605
246,dakhla,23.6848,-15.958,64.18,82,5,17.31,EH,1714972606
247,lodja,-3.4833,23.4333,70.84,78,10,1.95,CD,1714972606
